"company_id","app_user","ever_contacted_support","subscription_status","left_trustpilot_review","minutes_activity_last_7_days_mobile","minutes_activity_last_7_days_desktop","minutes_activity_last_7_days_all_devices"
17729840,TRUE,FALSE,"Cancelled",TRUE,0,0,0
17711836,TRUE,TRUE,"Subscribed",FALSE,0,0,0
17712950,TRUE,TRUE,"Subscribed",FALSE,35,0,35
17723760,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17713380,FALSE,TRUE,"Subscribed",FALSE,2,0,13
17724228,FALSE,FALSE,"Subscribed",FALSE,0,0,0
17717407,TRUE,TRUE,"Subscribed",TRUE,0,0,0
17732402,TRUE,FALSE,"Subscribed",FALSE,0,0,0
17735723,FALSE,FALSE,"Cancelled",FALSE,0,0,0
17714265,FALSE,TRUE,"Subscribed",FALSE,0,0,3
17725457,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17718102,TRUE,TRUE,"Subscribed",FALSE,0,0,0
17715957,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17715966,TRUE,TRUE,"Subscribed",FALSE,0,0,0
17729432,FALSE,FALSE,"Subscribed",FALSE,0,0,0
17711123,TRUE,FALSE,"Subscribed",TRUE,0,0,0
17720951,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17713108,TRUE,TRUE,"Subscribed",FALSE,0,0,0
17726494,TRUE,TRUE,"Subscribed",FALSE,0,0,12
17715065,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17720229,TRUE,TRUE,"Subscribed",TRUE,0,0,0
17726994,TRUE,FALSE,"Subscribed",FALSE,0,0,0
17721052,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17736993,FALSE,FALSE,"Subscribed",FALSE,10,0,10
17729215,FALSE,FALSE,"Cancelled",FALSE,0,0,0
17726607,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17718276,TRUE,TRUE,"Subscribed",FALSE,0,0,0
17735068,FALSE,FALSE,"Cancelled",FALSE,0,0,0
17733795,FALSE,FALSE,"Cancelled",FALSE,0,0,0
17737346,FALSE,FALSE,"Cancelled",FALSE,0,0,0
17716095,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17725615,TRUE,TRUE,"Subscribed",FALSE,0,0,2
17710547,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17735209,TRUE,FALSE,"Cancelled",FALSE,0,0,0
17727201,FALSE,FALSE,"Subscribed",FALSE,0,0,0
17731385,FALSE,FALSE,"Cancelled",FALSE,1,0,1
17727312,FALSE,FALSE,"Subscribed",FALSE,0,0,0
17709881,FALSE,TRUE,"Subscribed",FALSE,0,0,1
17732813,FALSE,FALSE,"Cancelled",FALSE,0,0,0
17716047,TRUE,FALSE,,FALSE,0,0,0
17725458,FALSE,FALSE,"Subscribed",FALSE,0,0,0
17726283,FALSE,FALSE,"Subscribed",FALSE,0,0,0
17713085,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17712599,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17712412,FALSE,TRUE,,FALSE,0,0,0
17711603,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17718011,TRUE,TRUE,"Subscribed",FALSE,0,0,1
17718918,TRUE,TRUE,"Subscribed",TRUE,0,0,0
17714614,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17710592,FALSE,TRUE,"Subscribed",FALSE,62,0,62
17725878,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17712451,TRUE,TRUE,"Subscribed",FALSE,0,0,0
17711231,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17731957,TRUE,FALSE,"Cancelled",FALSE,0,0,0
17709659,TRUE,TRUE,"Subscribed",TRUE,0,0,1
17709767,FALSE,TRUE,"Subscribed",FALSE,0,0,0
17736823,TRUE,FALSE,"Cancelled",TRUE,0,0,0
17736057,TRUE,FALSE,"Cancelled",TRUE,0,0,0
17730084,TRUE,FALSE,"Cancelled",TRUE,0,0,0
17715565,FALSE,TRUE,"Subscribed",FALSE,0,0,0
